Event,Object Number,Raw Centroid X,Area_MC,Time,Raw Max Pixel_SSC - 773/56 - A1,SSC - 773/56 - A1,UCI_SSC - 773/56 - A1,Area_SSC - 773/56 - A1,Aspect Ratio_SSC - 773/56 - A1,Raw Max Pixel_488 - 773/56 - C1,488 - 773/56 - C1,UCI_488 - 773/56 - C1,Area_488 - 773/56 - C1,Aspect Ratio_488 - 773/56 - C1,Raw Max Pixel_488 - 528/46 - C3,488 - 528/46 - C3,UCI_488 - 528/46 - C3,Area_488 - 528/46 - C3,Aspect Ratio_488 - 528/46 - C3,Raw Max Pixel_488 - 583/24 - C4,488 - 583/24 - C4,UCI_488 - 583/24 - C4,Area_488 - 583/24 - C4,Aspect Ratio_488 - 583/24 - C4,Raw Max Pixel_488 - 611/31 - C5,488 - 611/31 - C5,UCI_488 - 611/31 - C5,Area_488 - 611/31 - C5,Aspect Ratio_488 - 611/31 - C5,Raw Max Pixel_488 - 702/87 - C6,488 - 702/87 - C6,UCI_488 - 702/87 - C6,Area_488 - 702/87 - C6,Aspect Ratio_488 - 702/87 - C6,Raw Max Pixel_FSC - 456/51 - D2,FSC - 456/51 - D2,UCI_FSC - 456/51 - D2,Area_FSC - 456/51 - D2,Aspect Ratio_FSC - 456/51 - D2
45,44,5.806452,401.76,0.264,37239,100046.57,100046.57,375.84,0.6258658,130,183.1862,183.1862,0,1,116,136.99655,136.99655,0,1,138,179.45172,179.45172,0,1,131,135.81725,135.81725,0,1,143,107.31724,107.31724,0,1,28564,62235.082,62235.082,259.2,0.799862
46,45,15.184211,492.48,0.271,21004,104686.2,104686.2,492.48,0.6809198,128,178.66551,178.66551,0,1,119,194.58621,194.58621,0,1,137,189.58417,189.58417,0,1,133,153.9,153.9,0,1,148,197.33794,197.33794,0,1,22008,63453.44,63453.44,362.88,0.9671036
47,46,32.53125,414.72,0.278,39467,98419.984,98419.984,414.72,0.71122205,132,130.7069,130.7069,0,1,117,192.42413,192.42413,0,1,137,82.15862,82.15862,0,1,145,158.42068,158.42068,0,1,146,221.5138,221.5138,0,1,26585,63447.094,63447.094,272.16,0.6983416
48,47,23.8,64.8,0.278,130,53.65862,53.65862,0,1,122,-4.5206895,-4.5206895,0,1,115,41.07931,41.07931,0,1,135,25.944828,25.944828,0,1,138,5.110345,5.110345,0,1,146,35.575863,35.575863,0,1,1030,1545.0931,1545.0931,64.8,0.28585914
49,48,12.407408,349.92,0.294,65535,103818.23,103818.23,336.96,0.6623658,136,186.72414,186.72414,0,1,118,171.78621,171.78621,0,1,136,143.59106,143.59106,0,1,133,109.87241,109.87241,0,1,143,127.95517,127.95517,0,1,23014,61284.207,61284.207,220.32,0.62437224
50,49,18,401.76,0.301,14936,60551.152,60551.152,401.76,0.7336763,129,161.17241,161.17241,0,1,115,131.29655,131.29655,0,1,140,120.87931,120.87931,0,1,133,177.68275,177.68275,0,1,149,129.52759,129.52759,0,1,13620,32342.236,32342.236,194.4,0.65524125
51,50,11.111111,349.92,0.301,394,1830.8793,1830.8793,142.56,0.87121713,147,373.05518,373.05518,0,1,133,314.2862,314.2862,0,1,166,352.2287,352.2287,0,1,159,444.01035,444.01035,0,1,197,745.32416,745.32416,0,1,2806,20467.645,20467.645,349.92,0.8079463
52,51,28.692308,336.96,0.308,52256,103227.89,103227.89,336.96,0.8445675,131,155.47241,155.47241,0,1,114,93.36207,93.36207,0,1,136,77.24483,77.24483,0,1,147,123.82758,123.82758,0,1,145,136.21034,136.21034,0,1,38683,62926.625,62926.625,259.2,0.84829664
53,52,2.875,103.68,0.308,642,1304.1207,1304.1207,51.84,0.61615634,127,40.88276,40.88276,0,1,124,25.355173,25.355173,0,1,134,9.631035,9.631035,0,1,129,31.644827,31.644827,0,1,134,28.106897,28.106897,0,1,2979,4827.2935,4827.2935,90.72,0.9480022
54,53,24.1875,207.36,0.308,2822,11714.482,11714.482,194.4,0.7860954,126,84.71379,84.71379,0,1,120,92.37931,92.37931,0,1,143,84.71379,84.71379,0,1,142,63.093105,63.093105,0,1,142,56.803448,56.803448,0,1,2654,9092.482,9092.482,129.6,0.9358318
