Event,Object Number,Raw Centroid X,Area_MC,Time,Raw Max Pixel_SSC - 773/56 - A1,SSC - 773/56 - A1,UCI_SSC - 773/56 - A1,Area_SSC - 773/56 - A1,Aspect Ratio_SSC - 773/56 - A1,Raw Max Pixel_488 - 773/56 - C1,488 - 773/56 - C1,UCI_488 - 773/56 - C1,Area_488 - 773/56 - C1,Aspect Ratio_488 - 773/56 - C1,Raw Max Pixel_488 - 528/46 - C3,488 - 528/46 - C3,UCI_488 - 528/46 - C3,Area_488 - 528/46 - C3,Aspect Ratio_488 - 528/46 - C3,Raw Max Pixel_488 - 583/24 - C4,488 - 583/24 - C4,UCI_488 - 583/24 - C4,Area_488 - 583/24 - C4,Aspect Ratio_488 - 583/24 - C4,Raw Max Pixel_488 - 611/31 - C5,488 - 611/31 - C5,UCI_488 - 611/31 - C5,Area_488 - 611/31 - C5,Aspect Ratio_488 - 611/31 - C5,Raw Max Pixel_488 - 702/87 - C6,488 - 702/87 - C6,UCI_488 - 702/87 - C6,Area_488 - 702/87 - C6,Aspect Ratio_488 - 702/87 - C6,Raw Max Pixel_FSC - 456/51 - D2,FSC - 456/51 - D2,UCI_FSC - 456/51 - D2,Area_FSC - 456/51 - D2,Aspect Ratio_FSC - 456/51 - D2
61,60,17.4,64.8,1.253,150,95.25043,95.25043,0,1,130,36.06189,36.06189,0,1,106,9.40745,9.40745,0,1,130,19.794842,19.794842,0,1,132,28.22235,28.22235,0,1,139,9.211461,9.211461,0,1,835,1214.541,1214.541,64.8,0.8957505
62,61,29.666666,38.88,1.261,116,23.586206,23.586206,0,1,132,23.193104,23.193104,0,1,106,8.451724,8.451724,0,1,128,14.348276,14.348276,0,1,134,2.7517242,2.7517242,0,1,143,19.26207,19.26207,0,1,1034,1357.5828,1357.5828,38.88,0.31769636
63,62,18.6,64.8,1.319,209,260.03793,260.03793,25.92,0,135,57.982758,57.982758,0,1,110,11.9896555,11.9896555,0,1,127,12.972414,12.972414,0,1,126,7.4689655,7.4689655,0,1,142,0.39310345,0.39310345,0,1,1439,3221.7634,3221.7634,64.8,0.69124544
64,63,9,25.92,1.327,122,23.714613,23.714613,0,1,123,13.52321,13.52321,0,1,115,15.483094,15.483094,0,1,129,9.015472,9.015472,0,1,131,11.563324,11.563324,0,1,140,9.603438,9.603438,0,1,1032,1310.9673,1310.9673,25.92,0
65,64,19.6,64.8,1.356,116,23.714613,23.714613,0,1,125,20.382809,20.382809,0,1,113,24.890545,24.890545,0,1,128,-6.467622,-6.467622,0,1,131,1.5679083,1.5679083,0,1,142,31.750143,31.750143,0,1,1386,2099.6252,2099.6252,64.8,0.4479153
66,65,12,64.8,1.356,124,57.982758,57.982758,0,1,126,5.7,5.7,0,1,109,24.568966,24.568966,0,1,129,22.8,22.8,0,1,129,32.82414,32.82414,0,1,143,31.644827,31.644827,0,1,1677,1913.2345,1913.2345,64.8,0.52345705
67,66,11.5,51.84,1.362,115,33.41379,33.41379,0,1,130,10.810345,10.810345,0,1,109,28.106897,28.106897,0,1,138,22.603449,22.603449,0,1,126,16.706896,16.706896,0,1,141,11.4,11.4,0,1,831,1254.1965,1254.1965,51.84,0.83177876
68,67,21.333334,349.92,1.415,2738,12556.511,12556.511,207.36,0.7054972,2510,11878.014,11878.014,259.2,0.91701853,192,621.88965,621.88965,38.88,0.54039323,324,864.8276,864.8276,38.88,0.5841125,244,634.86206,634.86206,25.92,0,20355,67816.44,67816.44,298.08,0.7641544,13970,43825.77,43825.77,233.28,0.6824005
69,68,27.208334,622.08,1.423,2106,16630.83,16630.83,375.84,0.715401,3446,26037.404,26037.404,492.48,0.98279667,249,1500.2793,1500.2793,77.76,0.6451374,409,2001.6827,2001.6827,116.64,0.865046,338,1531.9242,1531.9242,90.72,0.97355986,39300,170478.16,170478.16,570.24,0.8129916,10479,57344.848,57344.848,375.84,0.8538036
70,69,31.461538,336.96,1.423,2159,6663.1035,6663.1035,181.44,0.7800788,1371,7820.793,7820.793,233.28,0.9494625,163,501.6,501.6,0,1,278,640.7586,640.7586,38.88,0.8986001,211,486.07242,486.07242,12.96,1,13276,47334.57,47334.57,259.2,0.89659953,15906,39346.727,39346.727,246.24,0.5082817
